config,block,h,q0,p,r_fallback,sigma,silent_penalty,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,sepsis,native,ours_noinflate,74175538.0,1.0,8.7,10.4,60.3,2.3,0.0,39.7,44.3,0.011,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,sepsis,native,oracle_tax,74091428.8,0.998866,7.4,8.0,34.9,2.1,0.0,36.0,25.5,0.01,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,sepsis,native,offline_taxblind,67243848.555,0.90655,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,sepsis,native,offline_opt_tax,68638032.35,0.925346,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,autorpa_233k,always_reactive,5261420180.0,1.443541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,ours_noinflate,0.97596
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,autorpa_233k,always_compile_evict,3734579462.6,1.024632,28.4,64.1,4728.3,1203.4,0.0,24431.5,4196.3,0.046,ours_noinflate,0.97596
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,autorpa_233k,ours_evict,5267406623.9,1.445184,4.5,19.0,276.2,39.4,0.0,816.5,241.4,0.01,ours_noinflate,0.97596
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,autorpa_233k,ours_noinflate,3644800236.4,1.0,16.2,39.0,4236.3,1154.9,0.0,23511.6,3734.1,0.028,ours_noinflate,0.97596
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,autorpa_233k,oracle_tax,4649799978.5,1.275735,6.9,9.4,1218.0,353.9,0.0,7180.5,1032.2,0.008,ours_noinflate,0.97596
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,autorpa_233k,offline_taxblind,3376375109.791,0.926354,,,,,,,,,ours_noinflate,0.97596
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,autorpa_233k,offline_opt_tax,3417586137.213,0.937661,,,,,,,,,ours_noinflate,0.97596
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,native,always_reactive,5261420180.0,2.033781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,native,always_compile_evict,2586437519.8,0.999777,3.8,20.1,4728.3,1203.4,0.0,24431.5,3924.8,0.021,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,native,ours_evict,4926298600.2,1.904241,0.5,15.5,1159.5,176.2,0.0,3457.9,834.8,0.008,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,native,ours_noinflate,2587013863.9,1.0,3.8,20.2,4723.8,1203.2,0.0,24422.9,3921.1,0.021,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,native,oracle_tax,4178554298.2,1.615204,17.3,17.9,1564.0,446.0,0.0,9073.5,1310.3,0.013,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,native,offline_taxblind,2371389641.891,0.916651,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_A,native,offline_opt_tax,2394746466.872,0.92568,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,autorpa_233k,always_reactive,7373315056.0,0.954864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_reactive,0.869022
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,autorpa_233k,always_compile_evict,8484608378.3,1.09878,136.2,152.6,5263.7,498.1,0.0,10039.6,5111.8,0.115,always_reactive,0.869022
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,autorpa_233k,ours_evict,7661312987.2,0.992161,41.6,48.5,1144.2,86.8,0.0,1749.5,1106.9,0.032,always_reactive,0.869022
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,autorpa_233k,ours_noinflate,7721845497.7,1.0,102.6,112.0,2824.0,375.2,0.0,7622.4,2715.9,0.07,always_reactive,0.869022
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,autorpa_233k,oracle_tax,7339272948.9,0.950456,8.5,11.7,149.5,35.9,0.0,715.0,121.2,0.007,always_reactive,0.869022
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,autorpa_233k,offline_taxblind,6877646511.5,0.890674,,,,,,,,,always_reactive,0.869022
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,autorpa_233k,offline_opt_tax,7056592364.72,0.913848,,,,,,,,,always_reactive,0.869022
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,native,always_reactive,7373315056.0,1.132194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,native,always_compile_evict,6511828261.2,0.99991,14.8,28.5,5263.7,498.1,0.0,10039.6,3919.6,0.024,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,native,ours_evict,6834328948.9,1.049431,8.1,20.5,4278.4,328.8,0.0,6580.9,3109.3,0.017,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,native,ours_noinflate,6512412976.0,1.0,14.8,28.5,5257.0,497.5,0.0,10031.6,3915.3,0.024,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,native,oracle_tax,7262300392.5,1.115147,44.0,44.3,403.4,75.7,0.0,1517.5,331.4,0.012,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,native,offline_taxblind,5923170256.269,0.90952,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,wiki_B,native,offline_opt_tax,5974309308.19,0.917373,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,autorpa_233k,always_reactive,19497801224.0,1.454853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,ours_noinflate,0.977793
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,autorpa_233k,always_compile_evict,13706280905.3,1.022712,78.0,111.9,12207.1,4571.9,0.0,95044.2,11920.6,0.137,ours_noinflate,0.977793
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,autorpa_233k,ours_evict,19666145591.9,1.467415,37.0,58.2,2334.1,562.1,0.0,11636.5,2171.6,0.048,ours_noinflate,0.977793
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,autorpa_233k,ours_noinflate,13401900601.1,1.0,73.8,99.5,10491.9,4433.4,0.0,92099.7,10312.6,0.124,ours_noinflate,0.977793
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,autorpa_233k,oracle_tax,19011897979.3,1.418597,35.6,46.2,703.2,315.6,0.0,6493.6,551.1,0.009,ours_noinflate,0.977793
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,autorpa_233k,offline_taxblind,11345409248.89,0.846552,,,,,,,,,ours_noinflate,0.977793
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,autorpa_233k,offline_opt_tax,11925621594.356,0.889846,,,,,,,,,ours_noinflate,0.977793
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,native,always_reactive,19497801224.0,2.066264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,native,always_compile_evict,9433267884.5,0.999683,5.9,21.9,12207.1,4571.9,0.0,95044.2,9384.9,0.028,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,native,ours_evict,14323208356.5,1.517891,3.5,19.0,7731.9,2404.4,0.0,49885.1,5021.0,0.014,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,native,ours_noinflate,9436259192.6,1.0,5.9,21.9,12162.9,4570.3,0.0,94996.8,9364.1,0.028,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,native,oracle_tax,18699713492.7,1.981687,61.5,61.9,923.6,404.3,0.0,8391.7,735.0,0.011,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,native,offline_taxblind,8662838677.699,0.918037,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,bpi2019,native,offline_opt_tax,8812302497.634,0.933877,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,autorpa_233k,always_reactive,77101119.0,0.986655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_reactive,0.93118
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,autorpa_233k,always_compile_evict,82799412.0,1.059575,15.2,17.2,43.3,2.7,0.0,49.5,38.1,0.014,always_reactive,0.93118
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,autorpa_233k,ours_evict,77372368.7,0.990126,2.9,3.9,8.0,0.7,0.0,16.3,4.8,0.007,always_reactive,0.93118
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,autorpa_233k,ours_noinflate,78143985.6,1.0,4.7,5.6,13.3,1.1,0.0,22.3,9.9,0.007,always_reactive,0.93118
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,autorpa_233k,oracle_tax,75997682.2,0.972534,3.1,3.9,8.7,1.5,0.0,30.9,4.5,0.009,always_reactive,0.93118
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,autorpa_233k,offline_taxblind,75389775.794,0.964755,,,,,,,,,always_reactive,0.93118
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,autorpa_233k,offline_opt_tax,75792416.695,0.969907,,,,,,,,,always_reactive,0.93118
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,native,always_reactive,77101119.0,1.055162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,native,always_compile_evict,73070377.5,1.0,7.8,10.7,43.3,2.7,0.0,49.5,22.0,0.012,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,native,ours_evict,73139275.7,1.000943,7.6,10.5,43.1,2.7,0.0,48.7,22.0,0.012,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,native,ours_noinflate,73070377.5,1.0,7.8,10.7,43.3,2.7,0.0,49.5,22.0,0.012,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,native,oracle_tax,73288235.0,1.002981,11.2,11.6,27.3,2.4,0.0,44.7,14.1,0.013,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,native,offline_taxblind,57092842.068,0.78134,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,sepsis,native,offline_opt_tax,57887386.58,0.792214,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,autorpa_233k,always_reactive,5261420180.0,1.64877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,ours_noinflate,0.990244
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,autorpa_233k,always_compile_evict,3222558052.1,1.009852,17.8,53.9,2992.8,1239.6,0.0,25175.0,2445.1,0.046,ours_noinflate,0.990244
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,autorpa_233k,ours_evict,5138637700.6,1.610294,9.0,32.8,464.5,132.2,0.0,2670.7,355.4,0.016,ours_noinflate,0.990244
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,autorpa_233k,ours_noinflate,3191118261.7,1.0,16.6,42.9,2699.5,1205.2,0.0,24492.4,2178.6,0.036,ours_noinflate,0.990244
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,autorpa_233k,oracle_tax,4450813683.8,1.39475,11.3,13.9,840.6,404.6,0.0,8201.6,634.0,0.01,ours_noinflate,0.990244
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,autorpa_233k,offline_taxblind,2973324509.451,0.93175,,,,,,,,,ours_noinflate,0.990244
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,autorpa_233k,offline_opt_tax,3025916032.796,0.948231,,,,,,,,,ours_noinflate,0.990244
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,native,always_reactive,5261420180.0,2.128468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,native,always_compile_evict,2471808654.2,0.999952,4.0,16.5,2992.8,1239.6,0.0,25175.0,2129.3,0.02,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,native,ours_evict,3891800668.1,1.574399,2.4,16.0,1766.9,638.5,0.0,12859.5,1080.7,0.012,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,native,ours_noinflate,2471928312.3,1.0,4.0,16.5,2991.0,1239.5,0.0,25173.9,2128.1,0.02,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,native,oracle_tax,4139738225.8,1.6747,19.8,20.1,965.3,458.9,0.0,9342.2,709.1,0.013,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,native,offline_taxblind,2314915513.337,0.936482,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_A,native,offline_opt_tax,2334346629.596,0.944342,,,,,,,,,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_B,autorpa_233k,always_reactive,7373315056.0,0.979514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_reactive,0.937371
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_B,autorpa_233k,always_compile_evict,7865948015.0,1.044958,107.1,121.1,3756.5,536.2,0.0,10790.8,3573.9,0.1,always_reactive,0.937371
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_B,autorpa_233k,ours_evict,7661896588.4,1.017851,71.7,83.7,1584.7,225.8,0.0,4664.8,1495.9,0.06,always_reactive,0.937371
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_B,autorpa_233k,ours_noinflate,7527526329.3,1.0,96.9,110.8,2242.5,426.7,0.0,8694.4,2110.3,0.079,always_reactive,0.937371
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_B,autorpa_233k,oracle_tax,7316877007.0,0.972016,12.7,16.5,120.9,47.6,0.0,956.6,89.5,0.009,always_reactive,0.937371
h=0.02/q0=0.4/p=0.5/r=1/sig=0,A_core,0.02,0.4,0.5,1.0,0.0,1.0,wiki_B,autorpa_233k,offline_taxblind,6682438395.491,0.887734,,,,,,,,,always_reactive,0.937371
