config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,always_reactive,46668376.0,0.968773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,always_compile_evict,74198185.667,1.540256,8.333,10.0,175.333,34.667,0.0,161.333,154.667,0.006,126.333,29435666.667,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_noinflate,48172644.667,1.0,0.667,1.0,8.667,1.333,0.0,4.333,8.0,0.005,6.333,1475666.667,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,oracle_tax,46668376.0,0.968773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_spend_cap,48172644.667,1.0,0.667,1.0,8.667,1.333,0.0,4.333,8.0,0.005,6.333,1475666.667,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_pi_prior,47864285.333,0.993599,1.333,1.667,8.333,0.667,0.0,9.333,7.0,0.005,5.0,1165000.0,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_both,47864285.333,0.993599,1.333,1.667,8.333,0.667,0.0,9.333,7.0,0.005,5.0,1165000.0,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,offline_taxblind,46668376.0,0.968773,,,,,,,,,,,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,offline_opt_tax,46668376.0,0.968773,,,,,,,,,,,always_reactive,0.628969
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,always_reactive,46668376.0,1.300283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,always_compile_evict,1.0
