config,p,q0,lifetime,stream,price,policy,mean_tokens,rel_to_ours_evict,mean_final_library,mean_max_library,mean_n_compiles,mean_wasted_compiles,mean_wasted_compiles_tax,mean_wasted_tax_tokens,mean_tax_share,cheapest_policy
p=0.1/q0=0.17/life=10,0.1,0.17,10,sepsis,native,oracle_tax,74990338.7,0.984559,4.2,4.2,54.6,50.4,50.4,0.0,0.007702,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,sepsis,native,offline_taxblind,69210278.16,0.908672,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,sepsis,native,offline_opt_tax,70786040.556,0.92936,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,always_reactive,5261420180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004586,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,always_compile_evict,1747824682.8,0.332196,43.9,64.4,1517.4,1403.5,1450.1,123799339.3,0.12251,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,always_compile_evict_abandon,4676628844.5,0.888853,17.6,28.4,701.2,658.1,679.2,57586265.1,0.02224,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,on_second,2076834882.5,0.394729,153.5,153.5,1517.4,1403.5,1475.8,345282492.1,0.261489,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,ours_evict,5261420180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004586,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,oracle_tax,1557786002.3,0.296077,32.6,32.6,313.4,280.8,280.8,0.0,0.108379,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,offline_taxblind,1348447901.08,0.25629,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,autorpa_233k,offline_opt_tax,1406397272.793,0.267304,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,always_reactive,5261420180.0,1.160419,0.0,0.0,0.0,0.0,0.0,0.0,0.004586,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,always_compile_evict,1280578302.2,0.282435,6.0,29.7,1517.4,1363.9,1366.3,124979.4,0.061123,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,always_compile_evict_abandon,4462534593.2,0.984223,1.4,12.2,701.2,631.6,633.8,116652.9,0.009385,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,on_second,1745357335.1,0.384943,153.5,153.5,1517.4,1363.9,1474.0,342005463.8,0.311058,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,ours_evict,4534067675.8,1.0,1.4,9.5,511.5,460.6,462.4,96505.5,0.008487,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,oracle_tax,1481358849.4,0.326717,44.6,44.6,444.3,399.7,399.7,0.0,0.138352,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,offline_taxblind,1125518861.94,0.248236,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_A,native,offline_opt_tax,1171542290.105,0.258387,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,always_reactive,7373315056.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004991,always_reactive
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,always_compile_evict,8839990225.0,1.198917,233.5,239.2,6663.4,6272.3,6548.8,1002352432.9,0.147534,always_reactive
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,always_compile_evict_abandon,8383154537.5,1.136959,97.0,104.3,3661.0,3494.5,3621.5,478120906.9,0.069685,always_reactive
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,on_second,10681739361.5,1.448702,662.6,662.6,6663.4,6272.3,6621.3,2842114302.3,0.294495,always_reactive
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,ours_evict,7373315056.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004991,always_reactive
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,oracle_tax,6850779926.9,0.929132,28.3,28.3,281.5,253.2,253.2,0.0,0.033533,always_reactive
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,offline_taxblind,6430617928.01,0.872147,,,,,,,,always_reactive
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,autorpa_233k,offline_opt_tax,6740593943.612,0.914188,,,,,,,,always_reactive
