config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_cap_epoch,14617084741.264,1.0,52.0,82.0,1106.0,0.0,0.0,0.0,484.0,0.082,0.0,0.0,ours_noinflate,0.99371,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_cap_realized,14617084741.264,1.0,52.0,82.0,1106.0,0.0,0.0,0.0,484.0,0.082,0.0,0.0,ours_noinflate,0.99371,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_pi_prior,16105971565.123,1.101859,45.0,66.0,952.0,0.0,0.0,0.0,383.0,0.063,0.0,0.0,ours_noinflate,0.99371,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,breakeven,28111635630.351,1.923204,0.0,9.0,760.0,0.0,0.0,0.0,372.0,0.004,0.0,0.0,ours_noinflate,0.99371,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,breakeven_cap_epoch,28111635630.351,1.923204,0.0,9.0,760.0,0.0,0.0,0.0,372.0,0.004,0.0,0.0,ours_noinflate,0.99371,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,offline_taxblind,12686723859.123,0.867938,,,,,,,,,,,ours_noinflate,0.99371,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,offline_opt_tax,13356875152.165,0.913785,,,,,,,,,,,ours_noinflate,0.99371,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,always_reactive,187135368.565,1.134049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,always_compile_evict,168232384.502,1.019496,19.0,20.0,27.0,0.0,0.0,0.0,21.0,0.008,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_noinflate,165015211.177,1.0,6.0,7.0,7.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,oracle_tax,164288418.225,0.995596,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_spend_cap,165015211.177,1.0,6.0,7.0,7.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_noinflate,0.980877,android_ds
