config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,breakeven,45243743485.791,1.991256,1.0,10.0,964.0,0.0,0.0,0.0,484.0,0.003,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,breakeven_cap_epoch,45243743485.791,1.991256,1.0,10.0,964.0,0.0,0.0,0.0,484.0,0.003,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,offline_taxblind,20422069826.816,0.898811,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,offline_opt_tax,21448522743.013,0.943987,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,always_reactive,226623379.804,1.093882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,always_compile_evict,208636648.603,1.007062,19.0,20.0,27.0,0.0,0.0,0.0,17.0,0.007,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_noinflate,207173546.249,1.0,11.0,12.0,12.0,0.0,0.0,0.0,5.0,0.004,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,oracle_tax,205885430.206,0.993782,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_spend_cap,207173546.249,1.0,11.0,12.0,12.0,0.0,0.0,0.0,5.0,0.004,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_cap_epoch,207173546.249,1.0,11.0,12.0,12.0,0.0,0.0,0.0,5.0,0.004,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_cap_realized,207173546.249,1.0,11.0,12.0,12.0,0.0,0.0,0.0,5.0,0.004,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_pi_prior,207290957.332,1.000567,9.0,10.0,10.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,breakeven,217668515.859,1.050658,6.0,7.0,9.0,0.0,0.0,0.0,2.0,0.003,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,breakeven_cap_epoch,217668515.859,1.050658,6.0,7.0,9.0,0.0,0.0,0.0,2.0,0.003,0.0,0.0,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,offline_taxblind,190209709.298,0.918118,,,,,,,,,,,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,offline_opt_tax,197245506.089,0.952079,,,,,,,,,,,ours_noinflate,0.992987,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,always_reactive,226623379.804,1.080046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,always_compile_evict,212182004.536,1.011221,18.0,19.0,27.0,0.0,0.0,0.0,17.0,0.006,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_noinflate,209827526.401,1.0,8.0,9.0,11.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,oracle_tax,207216279.299,0.987555,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_spend_cap,209827526.401,1.0,8.0,9.0,11.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_pi_prior,0.987154,android_glm
